run,steps,last_step,final_loss,final_acc,max_sharpness
lr1_bs512_ep30_ms500k_seed0,26370,26369,0.738814115524292,0.654366135597229,2.6191892873178317
lr1_step_g0.5_bs512_ep40_ms500k_seed0,35160,35159,1.2203118801116943,0.5286504626274109,2.831612389682651
lr1_step_g0.75_bs512_ep50_ms500k_seed0,43950,43949,1.1041483879089355,0.5563216209411621,2.707791540501009
lr1_step_g0.95_bs512_ep40_ms500k_seed0,35160,35159,0.6759017705917358,0.6866968274116516,2.6313004051478
lr1_step_g0.99_bs512_ep40_ms500k_seed0,35160,35159,0.7001336812973022,0.6767274737358093,2.5494138911904094
lr1_step_g0.9_bs512_ep40_ms500k_seed0,35160,35159,0.6886488795280457,0.6814835071563721,2.6498320462834806
lr2_bs512_ep30_ms500k_seed0,26370,26369,1.3236565589904785,0.431814044713974,4.395758971802189
lr2_step_g0.5_bs512_ep40_ms500k_seed0,35160,35159,1.268532156944275,0.5068367719650269,2.3037577926668287
lr2_step_g0.75_bs512_ep50_ms500k_seed0,43950,43949,0.8831185698509216,0.6057714223861694,1.9768680259338933
lr2_step_g0.95_bs512_ep40_ms500k_seed0,35160,35159,0.7931873798370361,0.6282526254653931,2.9118972551364393
lr2_step_g0.99_bs512_ep30_ms500k_seed0,26370,26369,1.1481153964996338,0.4866185784339905,5.158500670252693
lr2_step_g0.9_bs512_ep40_ms500k_seed0,35160,35159,0.8034998178482056,0.6309049725532532,1.9114184949411792
lr3_bs512_ep30_ms500k_seed0,26370,26369,2.1603410243988037,0.15030142664909363,2.275452686364428
lr4_bs512_ep30_ms500k_seed0,26370,26369,2.1456706523895264,0.153407022356987,2.310798182768571
lr5_bs512_ep30_ms500k_seed0,26370,26369,2.1978819370269775,0.11207526922225952,1.2535112908595223
lr5_step_g0.5_bs512_ep40_ms500k_seed0,35160,35159,2.0520689487457275,0.18228380382061005,1.8423230153790757
lr5_step_g0.75_bs512_ep40_ms500k_seed0,35160,35159,1.9158520698547363,0.25234371423721313,6.276614839588536
lr5_step_g0.95_bs512_ep40_ms500k_seed0,35160,35159,1.993960976600647,0.23107878863811493,3.73369225485367
lr5_step_g0.99_bs512_ep30_ms500k_seed0,26370,26369,2.1539249420166016,0.15107782185077667,2.0288965506471794
lr5_step_g0.9_bs512_ep40_ms500k_seed0,35160,35159,1.8918849229812622,0.2739287316799164,7.0614330132705945
