run,steps,last_step,final_loss,final_acc,max_sharpness
lr5_bs512_ep30_ms500k_seed0,26370,26369,2.1978819370269775,0.11207526922225952,1.2535112908595223
lr5_step_g0.5_bs512_ep40_ms500k_seed0,35160,35159,2.0520689487457275,0.18228380382061005,1.8423230153790757
lr5_step_g0.75_bs512_ep40_ms500k_seed0,35160,35159,1.9158520698547363,0.25234371423721313,6.276614839588536
lr5_step_g0.99_bs512_ep30_ms500k_seed0,26370,26369,2.1539249420166016,0.15107782185077667,2.0288965506471794
lr5_step_g0.9_bs512_ep40_ms500k_seed0,35160,35159,1.8918849229812622,0.2739287316799164,7.0614330132705945
