step,loss,acc,grad_norm,sharpness,lrs,eos_threshold
0,2.1986212730407715,0.10615289211273193,0.020650549775174963,0.03273879197899657,10.0,0.2
1,2.1980156898498535,0.11036054790019989,0.019533640570391003,,10.0,0.2
2,2.198441505432129,0.11060938984155655,0.018670984083597672,,10.0,0.2
3,2.1979596614837646,0.11029229313135147,0.017665325641129274,,10.0,0.2
4,2.197922945022583,0.11260198056697845,0.01759930852963673,,10.0,0.2
5,2.198016405105591,0.11304419487714767,0.016971881794623573,,10.0,0.2
6,2.198263645172119,0.11005379259586334,0.01641167582581854,,10.0,0.2
7,2.1982357501983643,0.11153910309076309,0.015968803124021748,,10.0,0.2
8,2.1982133388519287,0.10665783286094666,0.01490866677277909,,10.0,0.2
9,2.1975839138031006,0.11269472539424896,0.013820510633528587,,10.0,0.2
10,2.197347640991211,0.11073839664459229,0.013383827730801141,,10.0,0.2
11,2.1982030868530273,0.11169175803661346,0.013344699038989589,,10.0,0.2
12,2.1979033946990967,0.109975166618824,0.012616988525988993,,10.0,0.2
13,2.1978533267974854,0.11008983850479126,0.011803923011054077,,10.0,0.2
14,2.197420358657837,0.11472022533416748,0.011618286673615577,,10.0,0.2
15,2.197725296020508,0.10954998433589935,0.011756197271727633,,10.0,0.2
16,2.197613000869751,0.11338967084884644,0.01177552566998962,,10.0,0.2
17,2.1975486278533936,0.11257043480873108,0.011796160516904425,,10.0,0.2
18,2.1976449489593506,0.11507871001958847,0.011939502958794016,,10.0,0.2
19,2.1979026794433594,0.11257647722959518,0.011753177193131013,,10.0,0.2
20,2.1974990367889404,0.11410118639469147,0.012163153543576862,,10.0,0.2
21,2.197617769241333,0.11243068426847458,0.011662672405783165,,10.0,0.2
22,2.197643995285034,0.11342765390872955,0.011763905659951238,,10.0,0.2
23,2.1982293128967285,0.11166797578334808,0.012207128289934106,,10.0,0.2
24,2.19787335395813,0.11310139298439026,0.011686630501710567,,10.0,0.2
25,2.1974918842315674,0.11187884956598282,0.011466440374468144,,10.0,0.2
26,2.1980369091033936,0.11189766973257065,0.011806510154119106,,10.0,0.2
27,2.1978628635406494,0.11175935715436935,0.01181695628261287,,10.0,0.2
28,2.197612762451172,0.11761537194252014,0.011525968190262663,,10.0,0.2
29,2.1976306438446045,0.1149933859705925,0.011655278746716352,,10.0,0.2
30,2.1975526809692383,0.11252275854349136,0.011944653860012628,,10.0,0.2
31,2.1979823112487793,0.11043960601091385,0.011839130357497441,,10.0,0.2
32,2.1975789070129395,0.1177518293261528,0.012720083123198576,,10.0,0.2
33,2.1974761486053467,0.11441941559314728,0.011966658858768277,,10.0,0.2
34,2.1971967220306396,0.11556457728147507,0.011921865565937596,,10.0,0.2
35,2.197810649871826,0.11163021624088287,0.012345605604029638,,10.0,0.2
36,2.1973493099212646,0.1166832223534584,0.012837925410578396,,10.0,0.2
37,2.197206974029541,0.1149563267827034,0.012863908331206588,,10.0,0.2
38,2.1969571113586426,0.11561412364244461,0.012483112099352264,,10.0,0.2
39,2.1967813968658447,0.11527484655380249,0.012627076578797317,,10.0,0.2
40,2.1976821422576904,0.11282645910978317,0.012399821500777598,,10.0,0.2
41,2.1967618465423584,0.11818482726812363,0.013056609782325309,,10.0,0.2
42,2.196179151535034,0.12127237021923065,0.013136003451167848,,10.0,0.2
43,2.197313070297241,0.11623486876487732,0.014153470167947017,,10.0,0.2
44,2.197160482406616,0.11837038397789001,0.014465345883193053,,10.0,0.2
45,2.1971933841705322,0.11566963791847229,0.016314579737658402,,10.0,0.2
46,2.19657301902771,0.11676807701587677,0.015804200938052005,,10.0,0.2
47,2.196695327758789,0.11393503844738007,0.015979064725553792,,10.0,0.2
48,2.196535110473633,0.11966236680746078,0.019620971613717633,,10.0,0.2
49,2.196204662322998,0.12275324761867523,0.019530937940416118,,10.0,0.2
50,2.196957588195801,0.11812391877174377,0.019434187473462816,0.0473243312461612,10.0,0.2
51,2.196338415145874,0.11867285519838333,0.01814908304830584,,10.0,0.2
52,2.195761203765869,0.12216109037399292,0.016961301127598315,,10.0,0.2
53,2.195807695388794,0.12111788243055344,0.017307023812488352,,10.0,0.2
54,2.196147918701172,0.11979791522026062,0.017050844167922113,,10.0,0.2
55,2.196054458618164,0.12146938592195511,0.017923805353935063,,10.0,0.2
