step,loss,acc,grad_norm,sharpness,lrs,eos_threshold
0,2.198115110397339,0.11379824578762054,0.02012352542360391,0.03436620818223619,4.0,0.5
1,2.198026180267334,0.10917211323976517,0.020040558321479145,,4.0,0.5
2,2.1977219581604004,0.11126288771629333,0.01906630969335217,,4.0,0.5
3,2.1981682777404785,0.10859035700559616,0.018923638661757478,,4.0,0.5
4,2.197880506515503,0.11384233832359314,0.01795216244677709,,4.0,0.5
5,2.198005437850952,0.10972020775079727,0.018996836385350015,,4.0,0.5
6,2.1974234580993652,0.11088082939386368,0.016621129512846885,,4.0,0.5
7,2.1973659992218018,0.11296465247869492,0.016484236637894827,,4.0,0.5
8,2.1978795528411865,0.11338797956705093,0.01651572280095625,,4.0,0.5
9,2.197495222091675,0.11552795022726059,0.016048051938373713,,4.0,0.5
10,2.1975080966949463,0.11801730841398239,0.016387470070231207,,4.0,0.5
11,2.1974971294403076,0.11473780125379562,0.015913606357520156,,4.0,0.5
12,2.1976749897003174,0.11494634300470352,0.016012292374064263,,4.0,0.5
13,2.197190999984741,0.11632052809000015,0.015403508112268793,,4.0,0.5
14,2.197300910949707,0.11595823615789413,0.015376666307052738,,4.0,0.5
15,2.1973938941955566,0.1156819760799408,0.015261264898188562,,4.0,0.5
16,2.1974527835845947,0.10911201685667038,0.014828291194620005,,4.0,0.5
17,2.197411060333252,0.11263406276702881,0.014747871053986481,,4.0,0.5
18,2.1973986625671387,0.1172328069806099,0.01437497856885966,,4.0,0.5
19,2.197115421295166,0.11514424532651901,0.013991573497369639,,4.0,0.5
20,2.1973557472229004,0.11204934120178223,0.014171885647026101,,4.0,0.5
21,2.1970300674438477,0.1163686066865921,0.013939430312462708,,4.0,0.5
22,2.197295665740967,0.11564739048480988,0.013749460555662051,,4.0,0.5
23,2.197293519973755,0.11431999504566193,0.014081711445199678,,4.0,0.5
24,2.197192668914795,0.11325051635503769,0.013812399886775423,,4.0,0.5
25,2.196943759918213,0.1132754310965538,0.013725932533305,,4.0,0.5
26,2.1972033977508545,0.11703801155090332,0.01403026570106522,,4.0,0.5
27,2.1968870162963867,0.11719591915607452,0.013660060429769045,,4.0,0.5
28,2.197192907333374,0.11471342295408249,0.013656460861286135,,4.0,0.5
29,2.1970937252044678,0.11770548671483994,0.01381266805536136,,4.0,0.5
30,2.1970643997192383,0.11749627441167831,0.014158439670276041,,4.0,0.5
31,2.1973178386688232,0.11494014412164688,0.01402862025375185,,4.0,0.5
32,2.196864128112793,0.11924365907907486,0.0140461017937127,,4.0,0.5
33,2.197089195251465,0.11563753336668015,0.014955512345967542,,4.0,0.5
34,2.19690203666687,0.11381710320711136,0.014361538443812294,,4.0,0.5
35,2.1967103481292725,0.11875129491090775,0.014374060290561024,,4.0,0.5
36,2.1965503692626953,0.11712194979190826,0.015132579805326946,,4.0,0.5
37,2.1964871883392334,0.11844338476657867,0.015034838130984631,,4.0,0.5
38,2.1962499618530273,0.12371773272752762,0.01511120092582566,,4.0,0.5
39,2.196553945541382,0.11601638048887253,0.015483266373416169,,4.0,0.5
40,2.1961779594421387,0.12004637718200684,0.016639160248877308,,4.0,0.5
41,2.196254253387451,0.12204121053218842,0.0175840447765202,,4.0,0.5
42,2.196343421936035,0.11987577378749847,0.01751935127349023,,4.0,0.5
43,2.1968088150024414,0.11621274799108505,0.01767125216557504,,4.0,0.5
44,2.1968297958374023,0.11732328683137894,0.019046522512507005,,4.0,0.5
45,2.1953649520874023,0.11948202550411224,0.018476867593085897,,4.0,0.5
46,2.1959755420684814,0.11926340311765671,0.01872859264067355,,4.0,0.5
47,2.195729970932007,0.11871428042650223,0.018062096150778778,,4.0,0.5
48,2.19547176361084,0.1221269741654396,0.01863060898273296,,4.0,0.5
49,2.195819616317749,0.11974190175533295,0.01861673196881312,,4.0,0.5
50,2.195514440536499,0.1215355396270752,0.019137830782943024,0.04448053035809575,4.0,0.5
51,2.1957004070281982,0.12131500244140625,0.020103142143713292,,4.0,0.5
52,2.1953444480895996,0.12428630888462067,0.020344856837448404,,4.0,0.5
53,2.1952130794525146,0.12183603644371033,0.01992640669489902,,4.0,0.5
54,2.1950788497924805,0.12161210924386978,0.02115270075826099,,4.0,0.5
55,2.1945269107818604,0.12006796896457672,0.02129076887752035,,4.0,0.5
56,2.1950318813323975,0.12568306922912598,0.021409187801064843,,4.0,0.5
57,2.194751501083374,0.12403646856546402,0.021958693316316977,,4.0,0.5
58,2.195361614227295,0.12475140392780304,0.023569623681472633,,4.0,0.5
59,2.194459915161133,0.12547087669372559,0.02229140989626873,,4.0,0.5
60,2.1938529014587402,0.12871737778186798,0.02319857774319609,,4.0,0.5
61,2.1943917274475098,0.12585878372192383,0.024210233051828917,,4.0,0.5
62,2.1941890716552734,0.12678910791873932,0.024269051763123953,,4.0,0.5
63,2.19360613822937,0.1276542991399765,0.023996950472336433,,4.0,0.5
64,2.193586587905884,0.12421975284814835,0.024641209728978403,,4.0,0.5
65,2.194364070892334,0.12460710853338242,0.026314233223606598,,4.0,0.5
66,2.1937546730041504,0.1260051429271698,0.026361650326610985,,4.0,0.5
67,2.193026542663574,0.12761202454566956,0.025857402250058583,,4.0,0.5
68,2.1934010982513428,0.1292407065629959,0.026716058434273122,,4.0,0.5
69,2.192643642425537,0.1325560212135315,0.02648730834098615,,4.0,0.5
70,2.1925551891326904,0.13216915726661682,0.026994444152235834,,4.0,0.5
71,2.1927378177642822,0.13205908238887787,0.028281057087550843,,4.0,0.5
72,2.1919119358062744,0.13124845921993256,0.028594401503318066,,4.0,0.5
73,2.1919567584991455,0.13059315085411072,0.029079325286797793,,4.0,0.5
74,2.1913509368896484,0.13143306970596313,0.028501793480507034,,4.0,0.5
75,2.192167282104492,0.13183359801769257,0.03053948042992086,,4.0,0.5
76,2.190946340560913,0.13275398313999176,0.03096170826396087,,4.0,0.5
77,2.1905548572540283,0.1361301988363266,0.03213659646662562,,4.0,0.5
78,2.189523220062256,0.13869337737560272,0.030984312032062807,,4.0,0.5
79,2.190093755722046,0.13840357959270477,0.03324840131971077,,4.0,0.5
80,2.190700054168701,0.1315615177154541,0.03508482056736537,,4.0,0.5
81,2.189535617828369,0.13368918001651764,0.03458395650931326,,4.0,0.5
82,2.1879422664642334,0.13894867897033691,0.03425074599185362,,4.0,0.5
83,2.1885409355163574,0.1369188129901886,0.03510436503708683,,4.0,0.5
84,2.1886045932769775,0.1352267563343048,0.03690305044612595,,4.0,0.5
85,2.187145709991455,0.14234861731529236,0.03731832599064486,,4.0,0.5
86,2.1871674060821533,0.14367316663265228,0.037563653708454076,,4.0,0.5
87,2.186695098876953,0.1425085812807083,0.03721132660692746,,4.0,0.5
88,2.1856372356414795,0.14460520446300507,0.03673159597005306,,4.0,0.5
89,2.1859710216522217,0.14217087626457214,0.03769646736500754,,4.0,0.5
90,2.184091091156006,0.1468479186296463,0.038449516577664204,,4.0,0.5
91,2.184849977493286,0.1443401277065277,0.04162653586028146,,4.0,0.5
92,2.1835758686065674,0.14375104010105133,0.04055209628253105,,4.0,0.5
93,2.1838953495025635,0.1427389681339264,0.042188173373831774,,4.0,0.5
94,2.183292865753174,0.14861451089382172,0.04181259872054342,,4.0,0.5
95,2.1817986965179443,0.14810366928577423,0.042202143920799705,,4.0,0.5
96,2.1811227798461914,0.15077394247055054,0.042736114162084275,,4.0,0.5
97,2.1802494525909424,0.1488877832889557,0.043820798204392594,,4.0,0.5
98,2.179542303085327,0.14981351792812347,0.046222930065256754,,4.0,0.5
99,2.1787335872650146,0.15326321125030518,0.04735630344969242,,4.0,0.5
100,2.177781343460083,0.1554635763168335,0.048870083543364806,0.16562414024821237,4.0,0.5
101,2.1792492866516113,0.1531229317188263,0.05143477917402173,,4.0,0.5
102,2.175957441329956,0.1590513288974762,0.05063922276956559,,4.0,0.5
103,2.1762425899505615,0.1561647206544876,0.052718039477831345,,4.0,0.5
104,2.174628734588623,0.15907961130142212,0.054092353649610556,,4.0,0.5
105,2.1731956005096436,0.16305066645145416,0.056020620224575664,,4.0,0.5
106,2.1711008548736572,0.16660453379154205,0.05713451544989768,,4.0,0.5
107,2.1701650619506836,0.1674668937921524,0.058280102441190224,,4.0,0.5
108,2.166705369949341,0.16908413171768188,0.05913731701583735,,4.0,0.5
109,2.168799638748169,0.1639079749584198,0.06444498540406053,,4.0,0.5
110,2.167353391647339,0.16564670205116272,0.0672140891594932,,4.0,0.5
111,2.1641054153442383,0.16939054429531097,0.06415120324641045,,4.0,0.5
112,2.1627378463745117,0.17111855745315552,0.06467759280600653,,4.0,0.5
113,2.159777879714966,0.17576736211776733,0.06547809028047304,,4.0,0.5
114,2.1601059436798096,0.1697574406862259,0.07508057102042037,,4.0,0.5
115,2.157491445541382,0.17307612299919128,0.07186940250198341,,4.0,0.5
116,2.15513277053833,0.177854984998703,0.07508577483518533,,4.0,0.5
117,2.1535303592681885,0.18347977101802826,0.07420624535281765,,4.0,0.5
118,2.1531996726989746,0.17997680604457855,0.08031393229579299,,4.0,0.5
