run,steps,last_step,final_loss,final_acc,max_sharpness
lr0.10_bs512_ep60_ms50k_seed0,5280,5279,1.4564321041107178,0.472470223903656,2.6001114413742203
lr0.5_bs512_ep16_ms50k_seed0,1408,1407,1.4113181829452515,0.4828099012374878,2.549705060373455
lr1.0_bs512_ep24_ms50k_seed0,2112,2111,1.269823670387268,0.5190491676330566,2.509581946820962
lr10.0_ep20_ms50k_seed0,1760,1759,2.1982038021087646,0.1130281537771225,0.334833737193941
lr2.0_bs512_ep8_ms50k_seed0,704,703,1.6714457273483276,0.38762712478637695,1.8942953340760158
lr5.0_bs512_ep8_ms50k_seed0,704,703,2.1709201335906982,0.15117737650871277,0.9712921618514853
