run,steps,last_step,final_loss,final_acc,max_sharpness,eos_threshold,exceeded_eos
lr0.10_bs512_ep6_seed0,636,635,2.1936564445495605,0.1307610720396042,0.048273058418803215,20.0,False
lr0.10_bs512_ep8_seed0,1408,1407,2.175389289855957,0.17703096568584442,0.1555752491016701,20.0,False
lr10.0_ep20_ms50k_seed0,3520,3519,2.1991724967956543,0.11337147653102875,0.5415794081933768,0.2,True
