run,steps,last_step,final_loss,final_acc,max_sharpness
lr0.1_bs512_ep40_ms500k_seed0,35160,35159,1.114655613899231,0.5548543334007263,3.0220390456761654
lr0.25_bs512_ep40_ms500k_seed0,35160,35159,0.708122968673706,0.669822096824646,2.943724758022318
lr0.5_bs512_ep30_ms500k_seed0,26370,26369,0.7175524234771729,0.6677475571632385,2.827446957501618
lr0.5_bs512_ep40_ms500k_seed0,35160,35159,0.6944092512130737,0.6791969537734985,2.827446957501618
lr0.75_bs512_ep40_ms500k_seed0,35160,35159,0.7050748467445374,0.6714226603507996,2.7407684397105845
lr0.9_bs512_ep30_ms500k_seed0,26370,26369,0.7338987588882446,0.6575173735618591,2.6486557865102864
lr1_bs512_ep30_ms500k_seed0,26370,26369,0.738814115524292,0.654366135597229,2.6191892873178317
lr2_bs512_ep30_ms500k_seed0,26370,26369,1.3236565589904785,0.431814044713974,4.395758971802189
lr3_bs512_ep30_ms500k_seed0,26370,26369,2.1603410243988037,0.15030142664909363,2.275452686364428
lr4_bs512_ep30_ms500k_seed0,26370,26369,2.1456706523895264,0.153407022356987,2.310798182768571
lr5_bs512_ep30_ms500k_seed0,26370,26369,2.1978819370269775,0.11207526922225952,1.2535112908595223
