step,loss,acc,grad_norm,sharpness,lrs,eos_threshold
0,2.1986212730407715,0.10615289211273193,0.020650549775174963,16.332506489850445,0.03,66.66666666666667
1,14.894502639770508,0.11044343560934067,10.281616772632374,,0.03,66.66666666666667
2,2.2869861125946045,0.11102365702390671,0.7001185074949781,,0.03,66.66666666666667
3,2.201347589492798,0.1130247563123703,0.03396698414221717,,0.03,66.66666666666667
4,2.1979622840881348,0.11343023926019669,0.010899474730850046,,0.03,66.66666666666667
5,2.198158025741577,0.11068306863307953,0.00983525113081575,,0.03,66.66666666666667
6,2.1999759674072266,0.10541994869709015,0.02260045161387763,,0.03,66.66666666666667
7,2.1990509033203125,0.1110006645321846,0.008506348928537981,,0.03,66.66666666666667
8,2.1992075443267822,0.10910069197416306,0.011130990086334171,,0.03,66.66666666666667
9,2.198965549468994,0.11128604412078857,0.008409944673950953,,0.03,66.66666666666667
10,2.198838710784912,0.11198078095912933,0.006572563044896774,,0.03,66.66666666666667
11,2.1991500854492188,0.10899589955806732,0.0065126175978644915,,0.03,66.66666666666667
12,2.2003965377807617,0.11295530200004578,0.006920298948364429,,0.03,66.66666666666667
13,2.1997368335723877,0.10772988945245743,0.007583976808467647,,0.03,66.66666666666667
14,2.199349880218506,0.10732291638851166,0.006499376501906209,,0.03,66.66666666666667
15,2.1987972259521484,0.1107897087931633,0.0066597430383208076,,0.03,66.66666666666667
16,2.199286937713623,0.11019968241453171,0.008103250715389688,,0.03,66.66666666666667
17,2.199676513671875,0.11033311486244202,0.008426115583492723,,0.03,66.66666666666667
18,2.1988725662231445,0.11437448114156723,0.007612206249233899,,0.03,66.66666666666667
19,2.1998136043548584,0.11443690955638885,0.008238358852841375,,0.03,66.66666666666667
20,2.199716567993164,0.10813944041728973,0.012774606269126498,,0.03,66.66666666666667
21,2.1989142894744873,0.11251344531774521,0.012702096438052517,,0.03,66.66666666666667
22,2.199143648147583,0.1153305247426033,0.007298939483458578,,0.03,66.66666666666667
23,2.1994760036468506,0.1077745109796524,0.007315666487213161,,0.03,66.66666666666667
24,2.199352979660034,0.11082612723112106,0.0074659463066377085,,0.03,66.66666666666667
25,2.1985766887664795,0.11067897081375122,0.007654317409160967,,0.03,66.66666666666667
26,2.1993026733398438,0.10779930651187897,0.007310066744028585,,0.03,66.66666666666667
27,2.199186086654663,0.1073320135474205,0.007555179027005923,,0.03,66.66666666666667
28,2.1984872817993164,0.10978539288043976,0.007402569077094102,,0.03,66.66666666666667
29,2.1984505653381348,0.11197485774755478,0.007245240787339917,,0.03,66.66666666666667
30,2.198305606842041,0.11070186644792557,0.006980662783023541,,0.03,66.66666666666667
31,2.1988136768341064,0.10957033187150955,0.0067802961286124825,,0.03,66.66666666666667
32,2.198033571243286,0.11033798009157181,0.006853791802055158,,0.03,66.66666666666667
33,2.198741912841797,0.11048534512519836,0.007051773849597166,,0.03,66.66666666666667
34,2.1983351707458496,0.11361848562955856,0.007480725774468823,,0.03,66.66666666666667
35,2.1987509727478027,0.10956298559904099,0.007097850214713153,,0.03,66.66666666666667
36,2.1983156204223633,0.11167660355567932,0.007029908764370198,,0.03,66.66666666666667
