run,steps,last_step,final_loss,final_acc,max_sharpness
adam_lr0.0003_bs512_ep8_seed0,704,703,1.628205418586731,0.4135896861553192,1.9176547556780943
adam_lr0.003_bs512_ep8_seed0,704,703,1.7292002439498901,0.36431190371513367,1.4215214145242219
adam_lr0.01_bs512_ep8_seed0,704,703,2.1422486305236816,0.16390320658683777,2.480148482086086
adam_lr0.03_bs512_ep8_seed0,704,703,2.19789457321167,0.1120709627866745,16.332506489850445
lr0.10_bs512_ep6_seed0,636,635,2.1936564445495605,0.1307610720396042,0.048273058418803215
lr0.10_bs512_ep8_seed0,1408,1407,2.175389289855957,0.17703096568584442,0.1555752491016701
lr0.5_bs512_ep8_ms50k_seed0,704,703,1.8771182298660278,0.3163440525531769,2.3684153281949034
lr1.0_bs512_ep8_ms50k_seed0,704,703,1.5098109245300293,0.44919463992118835,2.616911234081495
lr1.0_step_g0.5_bs512_ep8_seed0,704,703,2.175205945968628,0.17607170343399048,0.16088528984115663
lr1.0_step_g0.75_bs512_ep8_seed0,704,703,1.9992090463638306,0.2857275605201721,1.6056328146410888
lr1.0_step_g0.95_bs512_ep8_seed0,704,703,1.5582319498062134,0.43351444602012634,2.382451146165748
lr1.0_step_g0.9_bs512_ep8_seed0,704,703,1.6587721109390259,0.40207141637802124,2.366228989643661
lr1.0_step_g1.0_bs512_ep8_seed0,704,703,1.495254635810852,0.45014163851737976,2.3646904422210455
lr10.0_ep20_ms50k_seed0,3520,3519,2.1991724967956543,0.11337147653102875,0.5415794081933768
lr2.0_bs512_ep8_ms50k_seed0,704,703,1.6927052736282349,0.3838369846343994,2.2017609771347755
lr5.0_bs512_ep8_ms50k_seed0,704,703,2.165754795074463,0.15127883851528168,1.066573179501619
